DB ID,Groups,Measure Title,Detail Measure - CTP,Short Definition - CTP,Long Definition - CTP,Operation Description - CTP,Exclusions - CTP,Availability - CTP,Sources - CTP,Footnotes - CTP,Format - CTP,Calculation - CTP,Variable - CTP,Unknown Expression 1 - CTP,Unknown Expression 2 - CTP,Allowable Tags - CTP,Expression 1 - CTP,Expression 2 - CTP,Filter Classes - CTP,Charging Stage - CTP,Date Stage - CTP,Felony / Misdemeanor - CTP,Include Standard Severities - CTP,Units - CTP,Numerator Description - CTP,Denominator Description - CTP,Related Measures - CTP
665,"Case Flow Detail, Diversions: 11",Percentage of Misdemeanors Diverted to Neighborhood Court,,,"Misdemeanors are low-level offenses punishable by a maximum of one year in county jail. This measure shows data on the percentage of misdemeanors enrolled in Neighborhood Court, which uses a restorative justice approach to resolve criminal offenses outside of the traditional courtroom.","Number of misdemeanors enrolled in Neighborhood Court divided by total number of misdemeanors enrolled in a pretrial diversion program in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Percentage,PERCENTAGE,DvrsnPrgrm,,,"OK, MISSINGNESS, CALCULATION",DfrrlDvrsn=1 AND DvrsnPrgrm=1 AND TopRfrrdChrgFelMisd=0,DfrrlDvrsn=1 AND TopRfrrdChrgFelMisd=0,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Deferred Prosecution or Pretrial Diversion,Misdemeanor,,"Misdemeanor, Misdemeanors",Misdemeanor Neighborhood Court Diversions,Misdemeanor Diversions,
662,"Case Flow, Diversions: 12",Misdemeanors Diverted to Mental Health Court,666,Mental Health Court,,"Sum of all misdemeanors enrolled in Mental Health Court in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Quantity,COUNT,DvrsnPrgrm,,,"OK, MISSINGNESS, CALCULATION",,DfrrlDvrsn=1 AND DvrsnPrgrm=2 AND TopRfrrdChrgFelMisd=0,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Deferred Prosecution or Pretrial Diversion,Misdemeanor,,"Misdemeanor, Misdemeanors",,,
666,"Case Flow Detail, Diversions: 12",Percentage of Misdemeanors Diverted to Mental Health Court,,,"Misdemeanors are low-level offenses punishable by a maximum of one year in county jail. This measure shows data on the percentage of misdemeanors enrolled in Mental Health Court, a collaborative court-based treatment and monitoring system for adult defendants with serious mental illness.","Number of misdemeanors enrolled in Mental Health Court divided by total number of misdemeanors enrolled in a pretrial diversion program in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Percentage,PERCENTAGE,DvrsnPrgrm,,,"OK, MISSINGNESS, CALCULATION",DfrrlDvrsn=1 AND DvrsnPrgrm=2 AND TopRfrrdChrgFelMisd=0,DfrrlDvrsn=1 AND TopRfrrdChrgFelMisd=0,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Deferred Prosecution or Pretrial Diversion,Misdemeanor,,"Misdemeanor, Misdemeanors",Misdemeanor Mental Health Court Diversions,Misdemeanor Diversions,
663,"Case Flow, Diversions: 13",Misdemeanors Diverted to Addiction Intervention Court,667,Addiction Intervention Court,,"Sum of all misdemeanors enrolled in Addiction Intervention in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Quantity,COUNT,DvrsnPrgrm,,,"OK, MISSINGNESS, CALCULATION",,DfrrlDvrsn=1 AND DvrsnPrgrm=3 AND TopRfrrdChrgFelMisd=0,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Deferred Prosecution or Pretrial Diversion,Misdemeanor,,"Misdemeanor, Misdemeanors",,,
667,"Case Flow Detail, Diversions: 13",Percentage of Misdemeanors Diverted to Addiction Intervention Court,,,"Misdemeanors are low-level offenses punishable by a maximum of one year in county jail. This measure shows data on the percentage of misdemeanors enrolled in Addiction Intervention Court, a collaborative program that provides intensive support services and supervision to individuals struggling with substance use disorders who are facing criminal charges related to their addiction. ","Number of misdemeanors enrolled in Addiction Intervention divided by total number of misdemeanors enrolled in a pretrial diversion program in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Percentage,PERCENTAGE,DvrsnPrgrm,,,"OK, MISSINGNESS, CALCULATION",DfrrlDvrsn=1 AND DvrsnPrgrm=3 AND TopRfrrdChrgFelMisd=0,DfrrlDvrsn=1 AND TopRfrrdChrgFelMisd=0,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Deferred Prosecution or Pretrial Diversion,Misdemeanor,,"Misdemeanor, Misdemeanors",Misdemeanor Addiction Intervention Court Diversions,Misdemeanor Diversions,
664,"Case Flow, Diversions: 14",Misdemeanors Diverted to Steps to Success,668,Steps to Success,,"Sum of all misdemeanors enrolled in Steps to Success in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Quantity,COUNT,DvrsnPrgrm,,,"OK, MISSINGNESS, CALCULATION",,DfrrlDvrsn=1 AND DvrsnPrgrm=4 AND TopRfrrdChrgFelMisd=0,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Deferred Prosecution or Pretrial Diversion,Misdemeanor,,"Misdemeanor, Misdemeanors",,,
668,"Case Flow Detail, Diversions: 14",Percentage of Misdemeanors Diverted to Steps to Success,,,"Misdemeanors are low-level offenses punishable by a maximum of one year in county jail. This measure shows data on the percentage of misdemeanors enrolled in Steps to Success, a restorative justice program that provides a diversion option for adults with mental health and/or substance use disorders who are facing criminal charges related to their condition and are ready to engage in treatment.","Number of misdemeanors enrolled in Steps to Success divided by total number of misdemeanors enrolled in a pretrial diversion program in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Percentage,PERCENTAGE,DvrsnPrgrm,,,"OK, MISSINGNESS, CALCULATION",DfrrlDvrsn=1 AND DvrsnPrgrm=4 AND TopRfrrdChrgFelMisd=0,DfrrlDvrsn=1 AND TopRfrrdChrgFelMisd=0,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Deferred Prosecution or Pretrial Diversion,Misdemeanor,,"Misdemeanor, Misdemeanors",Misdemeanor Steps-to-Success Diversions,Misdemeanor Diversions,
816,"Case Flow, Diversions: 15",Misdemeanors Diverted to Center for Intervention,817,Center for Intervention,,"Sum of all misdemeanors enrolled in Center for Intervention in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Quantity,COUNT,DvrsnPrgrm,,,"OK, MISSINGNESS, CALCULATION",,DfrrlDvrsn=1 AND DvrsnPrgrm=5 AND TopRfrrdChrgFelMisd=0,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Deferred Prosecution or Pretrial Diversion,Misdemeanor,,"Misdemeanor, Misdemeanors",,,
817,"Case Flow Detail, Diversions: 15",Percentage of Misdemeanors Diverted to Center for Intervention,,,"Misdemeanors are low-level offenses punishable by a maximum of one year in county jail. This measure shows data on the percentage of misdemeanors enrolled in Center for Intervention, which provides educational programs using a cognitive behavioral approach.","Number of misdemeanors enrolled in Center for Intervention divided by total number of misdemeanors enrolled in a pretrial diversion program in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Percentage,PERCENTAGE,DvrsnPrgrm,,,"OK, MISSINGNESS, CALCULATION",DfrrlDvrsn=1 AND DvrsnPrgrm=5 AND TopRfrrdChrgFelMisd=0,DfrrlDvrsn=1 AND TopRfrrdChrgFelMisd=0,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Deferred Prosecution or Pretrial Diversion,Misdemeanor,,"Misdemeanor, Misdemeanors",Misdemeanor Center for Intervention Diversions,Misdemeanor Diversions,
926,"Case Flow, Diversions: 16",Misdemeanors Diverted to PC1000 Drug Diversion,927,PC1000 Drug Diversion,,"Sum of all misdemeanors enrolled in PC1000 Drug Diversion in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Quantity,COUNT,DvrsnPrgrm,,,"OK, MISSINGNESS, CALCULATION",,DfrrlDvrsn=1 AND DvrsnPrgrm=6 AND TopRfrrdChrgFelMisd=0,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Deferred Prosecution or Pretrial Diversion,Misdemeanor,,"Misdemeanor, Misdemeanors",,,
927,"Case Flow Detail, Diversions: 16",Percentage of Misdemeanors Diverted to PC1000 Drug Diversion,,,"Misdemeanors are low-level offenses punishable by a maximum of one year in county jail. This measure shows data on the percentage of misdemeanors enrolled in PC1000 Drug Diversion, which allows non-violent drug offenders to obtain treatment and education on substance abuse issues instead of jail time.","Number of misdemeanors enrolled in PC1000 Drug Diversion divided by total number of misdemeanors enrolled in a pretrial diversion program in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Percentage,PERCENTAGE,DvrsnPrgrm,,,"OK, MISSINGNESS, CALCULATION",DfrrlDvrsn=1 AND DvrsnPrgrm=6 AND TopRfrrdChrgFelMisd=0,DfrrlDvrsn=1 AND TopRfrrdChrgFelMisd=0,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Deferred Prosecution or Pretrial Diversion,Misdemeanor,,"Misdemeanor, Misdemeanors",Misdemeanor PC1000 Drug Diversions,Misdemeanor Diversions,
932,"Case Flow, Diversions: 17",Misdemeanors Diverted to Other Diversion,933,Other Diversion,,"Sum of all misdemeanors enrolled in Other Diversion in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Quantity,COUNT,DvrsnPrgrm,,,"OK, MISSINGNESS, CALCULATION",,DfrrlDvrsn=1 AND DvrsnPrgrm=7 AND TopRfrrdChrgFelMisd=0,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Deferred Prosecution or Pretrial Diversion,Misdemeanor,,"Misdemeanor, Misdemeanors",,,
933,"Case Flow Detail, Diversions: 17",Percentage of Misdemeanors Diverted to Other Diversion,,,"Misdemeanors are low-level offenses punishable by a maximum of one year in county jail. This measure shows data on the percentage of misdemeanors enrolled in other diversion programs, including deferred entry of judgment not associated with PC1000, which allows a judge to avoid entering a conviction and set some conditions for the defendat to meet within a given timeframe. If the defendant successfully completes the conditions, the case will be dismissed.","Number of misdemeanors enrolled in other diversion divided by total number of cases enrolled in a pretrial diversion program in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Percentage,PERCENTAGE,DvrsnPrgrm,,,"OK, MISSINGNESS, CALCULATION",DfrrlDvrsn=1 AND DvrsnPrgrm=7,DfrrlDvrsn=1 AND TopRfrrdChrgFelMisd=0,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Deferred Prosecution or Pretrial Diversion,Misdemeanor,,"Misdemeanor, Misdemeanors",Misdemeanor Other Diversions,Misdemeanor Diversions,
669,"Case Flow, Diversions: 18",Felonies Diverted to Neighborhood Court,673,Neighborhood Court,,"Sum of all felonies enrolled in Neighborhood Court in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Quantity,COUNT,DvrsnPrgrm,,,"OK, MISSINGNESS, CALCULATION",,DfrrlDvrsn=1 AND DvrsnPrgrm=1 AND TopRfrrdChrgFelMisd=1,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Deferred Prosecution or Pretrial Diversion,Felony,,"Felony, Felonies",,,
673,"Case Flow Detail, Diversions: 18",Percentage of Felonies Diverted to Neighborhood Court,,,"Felonies are serious offenses punishable by prison or a maximum of death. This measure shows data on the percentage of felonies enrolled in Neighborhood Court, which uses a restorative justice approach to resolve criminal offenses outside of the traditional courtroom.","Number of felonies enrolled in Neighborhood Court divided by total number of felonies enrolled in a pretrial diversion program in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Percentage,PERCENTAGE,DvrsnPrgrm,,,"OK, MISSINGNESS, CALCULATION",DfrrlDvrsn=1 AND DvrsnPrgrm=1 AND TopRfrrdChrgFelMisd=1,DfrrlDvrsn=1 AND TopRfrrdChrgFelMisd=1,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Deferred Prosecution or Pretrial Diversion,Felony,,"Felony, Felonies",Felony Neighborhood Court Diversions,Felony Diversions,
670,"Case Flow, Diversions: 19",Felonies Diverted to Mental Health Court,674,Mental Health Court,,"Sum of all felonies enrolled in Mental Health Court in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Quantity,COUNT,DvrsnPrgrm,,,"OK, MISSINGNESS, CALCULATION",,DfrrlDvrsn=1 AND DvrsnPrgrm=2 AND TopRfrrdChrgFelMisd=1,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Deferred Prosecution or Pretrial Diversion,Felony,,"Felony, Felonies",,,
674,"Case Flow Detail, Diversions: 19",Percentage of Felonies Diverted to Mental Health Court,,,"Felonies are serious offenses punishable by prison or a maximum of death. This measure shows data on the percentage of felonies enrolled in Mental Health Court, a collaborative court-based treatment and monitoring system for adult defendants with serious mental illness.","Number of felonies enrolled in Mental Health Court divided by total number of felonies enrolled in a pretrial diversion program in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Percentage,PERCENTAGE,DvrsnPrgrm,,,"OK, MISSINGNESS, CALCULATION",DfrrlDvrsn=1 AND DvrsnPrgrm=2 AND TopRfrrdChrgFelMisd=1,DfrrlDvrsn=1 AND TopRfrrdChrgFelMisd=1,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Deferred Prosecution or Pretrial Diversion,Felony,,"Felony, Felonies",Felony Mental Health Court Diversions,Felony Diversions,
671,"Case Flow, Diversions: 20",Felonies Diverted to Addiction Intervention Court,675,Addiction Intervention Court,,"Sum of all felonies enrolled in Addiction Intervention Court in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Quantity,COUNT,DvrsnPrgrm,,,"OK, MISSINGNESS, CALCULATION",,DfrrlDvrsn=1 AND DvrsnPrgrm=3 AND TopRfrrdChrgFelMisd=1,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Deferred Prosecution or Pretrial Diversion,Felony,,"Felony, Felonies",,,
675,"Case Flow Detail, Diversions: 20",Percentage of Felonies Diverted to Addiction Intervention,,,"Felonies are serious offenses punishable by prison or a maximum of death. This measure shows data on the percentage of felonies enrolled in Addiction Intervention Court, a collaborative program that provides intensive support services and supervision to individuals struggling with substance use disorders who are facing criminal charges related to their addiction. ","Number of felonies enrolled in Addiction Intervention divided by total number of felonies enrolled in a pretrial diversion program in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Percentage,PERCENTAGE,DvrsnPrgrm,,,"OK, MISSINGNESS, CALCULATION",DfrrlDvrsn=1 AND DvrsnPrgrm=3 AND TopRfrrdChrgFelMisd=1,DfrrlDvrsn=1 AND TopRfrrdChrgFelMisd=1,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Deferred Prosecution or Pretrial Diversion,Felony,,"Felony, Felonies",Felony Addiction Intervention Court Diversions,Felony Diversions,
672,"Case Flow, Diversions: 21",Felonies Diverted to Steps to Success,676,Steps to Success,,"Sum of all felonies enrolled in Steps to Success in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Quantity,COUNT,DvrsnPrgrm,,,"OK, MISSINGNESS, CALCULATION",,DfrrlDvrsn=1 AND DvrsnPrgrm=4 AND TopRfrrdChrgFelMisd=1,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Deferred Prosecution or Pretrial Diversion,Felony,,"Felony, Felonies",,,
676,"Case Flow Detail, Diversions: 21",Percentage of Felonies Diverted to Steps to Success,,,"Felonies are serious offenses punishable by prison or a maximum of death. This measure shows data on the percentage of felonies enrolled in Steps to Success, a restorative justice program that provides a diversion option for adults with mental health and/or substance use disorders who are facing criminal charges related to their condition and are ready to engage in treatment.","Number of felonies enrolled in Steps to Success divided by total number of felonies enrolled in a pretrial diversion program in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Percentage,PERCENTAGE,DvrsnPrgrm,,,"OK, MISSINGNESS, CALCULATION",DfrrlDvrsn=1 AND DvrsnPrgrm=4 AND TopRfrrdChrgFelMisd=1,DfrrlDvrsn=1 AND TopRfrrdChrgFelMisd=1,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Deferred Prosecution or Pretrial Diversion,Felony,,"Felony, Felonies",Felony Steps-to-Success Diversions,Felony Diversions,
818,"Case Flow, Diversions: 22",Felonies Diverted to Center for Intervention,819,Center for Intervention,,"Sum of all felonies enrolled in Center for Intervention in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Quantity,COUNT,DvrsnPrgrm,,,"OK, MISSINGNESS, CALCULATION",,DfrrlDvrsn=1 AND DvrsnPrgrm=5 AND TopRfrrdChrgFelMisd=1,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Deferred Prosecution or Pretrial Diversion,Felony,,"Felony, Felonies",,,
819,"Case Flow Detail, Diversions: 22",Percentage of Felonies Diverted to Center for Intervention,,,"Felonies are serious offenses punishable by prison or a maximum of death.This measure shows data on the percentage of felonies enrolled in Center for Intervention, which provides educational programs using a cognitive behavioral approach.","Number of felonies enrolled in Center for Intervention divided by total number of felonies enrolled in a pretrial diversion program in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Percentage,PERCENTAGE,DvrsnPrgrm,,,"OK, MISSINGNESS, CALCULATION",DfrrlDvrsn=1 AND DvrsnPrgrm=5 AND TopRfrrdChrgFelMisd=1,DfrrlDvrsn=1 AND TopRfrrdChrgFelMisd=1,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Deferred Prosecution or Pretrial Diversion,Felony,,"Felony, Felonies",Felony CFI Diversions,Felony Diversions,
928,"Case Flow, Diversions: 23",Felonies Diverted to PC1000 Drug Diversion,929,PC1000 Drug Diversion,,"Sum of all felonies enrolled in PC1000 Drug Diversion in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Quantity,COUNT,DvrsnPrgrm,,,"OK, MISSINGNESS, CALCULATION",,DfrrlDvrsn=1 AND DvrsnPrgrm=6 AND TopRfrrdChrgFelMisd=1,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Deferred Prosecution or Pretrial Diversion,Felony,,"Felony, Felonies",,,
929,"Case Flow Detail, Diversions: 23",Percentage of Felonies Diverted to PC1000 Drug Diversion,,,"Felonies are serious offenses punishable by prison or a maximum of death.This measure shows data on the percentage of felonies enrolled in PC1000 Drug Diversion, which allows non-violent drug offenders to obtain treatment and education on substance abuse issues instead of jail time.",,,,,,,,,,,,DfrrlDvrsn=1 AND DvrsnPrgrm=6 AND TopRfrrdChrgFelMisd=1,DfrrlDvrsn=1 AND TopRfrrdChrgFelMisd=1,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Deferred Prosecution or Pretrial Diversion,Felony,,"Felony, Felonies",Felony PC1000 Drug Diversions,Felony Diversions,
934,"Case Flow, Diversions: 24",Felonies Diverted to Other Diversion,935,Other Diversion,,"Sum of all felonies enrolled in Other Diversion in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Quantity,COUNT,DvrsnPrgrm,,,"OK, MISSINGNESS, CALCULATION",,DfrrlDvrsn=1 AND DvrsnPrgrm=7 AND TopRfrrdChrgFelMisd=1,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Deferred Prosecution or Pretrial Diversion,Felony,,"Felony, Felonies",,,
935,"Case Flow Detail, Diversions: 24",Percentage of Felonies Diverted to Other Diversion,,,"Felonies are serious offenses punishable by prison or a maximum of death. This measure shows data on the percentage of felonies enrolled in other diversion programs, including deferred entry of judgment not associated with PC1000, which allows a judge to avoid entering a conviction and set some conditions for the defendat to meet within a given timeframe. If the defendant successfully completes the conditions, the case will be dismissed.","Number of felonies enrolled in other diversion divided by total number of cases enrolled in a pretrial diversion program in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Percentage,PERCENTAGE,DvrsnPrgrm,,,"OK, MISSINGNESS, CALCULATION",DfrrlDvrsn=1 AND DvrsnPrgrm=7,DfrrlDvrsn=1 AND TopRfrrdChrgFelMisd=1,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Deferred Prosecution or Pretrial Diversion,Felony,,"Felony, Felonies",Felony Other Diversions,Felony Diversions,
784,"Case Flow, Timeliness: 1
Case Flow Detail, Timeliness: 1",Median Time from Offense to Disposition,,Offense to Disposition,This measure shows data on the median number of days between when an offense took place and when the case was disposed or resolved.,"Middle point of the distribution of days between offense and disposition across all cases resolved in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Median,MEDIAN,DysOffnsToClsr,,,"OK, MISSINGNESS, CALCULATION",,DysOffnsToClsr>-777 AND Prosecuted=1,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Filing,Disposition,,,"Day, Days from Offense to Disposition",,,
785,"Case Flow Detail, Timeliness: 16",Average Time from Offense to Disposition,,,This measure shows data on the average number of days between when an offense took place and when the case was disposed or resolved.,"Sum of the number of days between offense and disposition divided by total number of cases filed in court for prosecution that were resolved in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Average,AVERAGE,DysOffnsToClsr,,,"OK, MISSINGNESS, CALCULATION",,DysOffnsToClsr>-777 AND Prosecuted=1,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Filing,Disposition,,,"Day, Days",,,
788,"Case Flow, Timeliness: 6
Case Flow Detail, Timeliness: 6",Median Time from Offense to Disposition for Misdemeanors,788,Misdemeanor Time,Misdemeanors are low-level offenses punishable by a maximum of one year in county jail. This measure shows data on the average number of days between when a misdemeanor offense took place and when the case was disposed or resolved.,"Middle point of the distribution of days between offense and disposition across all misdemeanor cases resolved in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Median,MEDIAN,DysOffnsToClsr,,,"OK, MISSINGNESS, CALCULATION",,DysOffnsToClsr>-777 AND Prosecuted=1 AND TopFilingChrgFelMisd=0,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Filing,Disposition,Misdemeanor,,"Day, Days",,,
789,"Case Flow Detail, Timeliness: 21",Average Time from Offense to Disposition for Misdemeanors,,,Misdemeanors are low-level offenses punishable by a maximum of one year in county jail. This measure shows data on the average number of days between when a misdemeanor offense took place and when the case was disposed or resolved.,"Sum of the number of days between offense and disposition divided by total number of misdemeanor cases filed in court for prosecution that were resolved in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Average,AVERAGE,DysOffnsToClsr,,,"OK, MISSINGNESS, CALCULATION",,DysOffnsToClsr>-777 AND Prosecuted=1 AND TopFilingChrgFelMisd=0,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Filing,Disposition,Misdemeanor,,"Day, Days",,,
786,"Case Flow, Timeliness: 11
Case Flow Detail, Timeliness: 11",Median Time from Offense to Disposition for Felonies,786,Felony Time,Felonies are serious offenses punishable by prison or a maximum of death. This measure shows data on the average number of days between when a felony offense took place and when the case was disposed or resolved.,"Middle point of the distribution of days between offense and disposition across all felony cases resolved in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Median,MEDIAN,DysOffnsToClsr,,,"OK, MISSINGNESS, CALCULATION",,DysOffnsToClsr>-777 AND Prosecuted=1 AND TopFilingChrgFelMisd=1,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Filing,Disposition,Felony,,"Day, Days",,,
787,"Case Flow Detail, Timeliness: 26",Average Time from Offense to Disposition for Felonies,,,Felonies are serious offenses punishable by prison or a maximum of death. This measure shows data on the average number of days between when a felony offense took place and when the case was disposed or resolved.,"Sum of the number of days between offense and disposition divided by total number of felony cases filed in court for prosecution that were resolved in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Average,AVERAGE,DysOffnsToClsr,,,"OK, MISSINGNESS, CALCULATION",,DysOffnsToClsr>-777 AND Prosecuted=1 AND TopFilingChrgFelMisd=1,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Filing,Disposition,Felony,,"Day, Days",,,
799,"Case Flow, Timeliness: 2
Case Flow Detail, Timeliness: 2",Median Time from Offense to Case Reception,,Offense to Case Reception,This measure shows data on the median number of days between when an offense took place and when the prosecutor's office received the case from law enforcement or directly from a citizen's complaint.,"Middle point of the distribution of days between offense and case reception across all cases received in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Median,MEDIAN,DysOffnsToRfrrl,,,"OK, MISSINGNESS, CALCULATION",,DysOffnsToRfrrl>-777,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Referral,,,"Day, Days",,,
800,"Case Flow Detail, Timeliness: 17",Average Time from Offense to Case Reception,,,This measure shows data on the average number of days between when an offense took place and when the prosecutor's office received the case from law enforcement or directly from a citizen's complaint.,"Sum of the number of days between offense and case reception divided by total number of cases received in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Average,AVERAGE,DysOffnsToRfrrl,,,"OK, MISSINGNESS, CALCULATION",,DysOffnsToRfrrl>-777,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Referral,,,"Day, Days",,,
681,"Case Flow, Timeliness: 7
Case Flow Detail, Timeliness: 7",Median Time from Offense to Case Reception for Misdemeanors,681,Offense to Case Reception,Misdemeanors are low-level offenses punishable by a maximum of one year in county jail. This measure shows data on the median number of days between when a misdemeanor offense took place and when the prosecutor's office received the case from law enforcement or directly from a citizen's complaint.,"Middle point of the distribution of days between offense and case reception across all misdemeanors received by the District Attorney's Office in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Median,MEDIAN,DysOffnsToRfrrl,,,"OK, MISSINGNESS, CALCULATION",,DysOffnsToRfrrl>-777 AND TopRfrrdChrgFelMisd=0,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Referral,Misdemeanor,,"Day, Days",,,
685,"Case Flow Detail, Timeliness: 22",Average Time from Offense to Case Reception for Misdemeanors,,,Misdemeanors are low-level offenses punishable by a maximum of one year in county jail. This measure shows data on the average number of days between when an offense took place and when the prosecutor's office received the case from law enforcement or directly from a citizen's complaint.,"Sum of the number of days between offense and case reception for misdemeanors divided by total number of misdemeanors received by the District Attorney's Office in [Month, Year]",,"(1,2,3)CA113: AVAILABLE",(3)CA: [212],,Average,AVERAGE,DysOffnsToRfrrl,,,"OK, MISSINGNESS, CALCULATION",,DysOffnsToRfrrl>-777 AND TopRfrrdChrgFelMisd=0,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Referral,Referral,Misdemeanor,,"Day, Days",,,
